"Time,Global Median Sea Level",(monthly)GMSL,,Y,
"1993.042,",-44.6,445,245,https://www.cmar.csiro.au/sealevel/sl_hist_last_decades.html
"1993.042,",-44.6,445,245,
"1993.042,",-44.6,445,245,
"1993.042,",-44.6,445,245,
"1993.042,",-44.6,445,245,
"1993.042,",-44.6,445,245,
"1993.042,",-44.6,445,245,
"1993.042,",-44.6,445,245,
"1993.042,",-44.6,445,245,
"1993.042,",-44.6,445,245,
"1993.042,",-44.6,445,245,
"1993.042,",-44.6,445,245,
"1993.042,",-44.6,445,245,
"1993.042,",-44.6,445,245,
"1993.042,",-44.6,445,245,
"1993.042,",-44.6,445,245,
"1993.042,",-44.6,445,245,
"1993.042,",-44.6,445,245,
"1993.042,",-44.6,445,245,
"1993.042,",-44.6,445,245,
"1993.042,",-44.6,445,245,
"1993.042,",-44.6,445,245,
"1993.042,",-44.6,445,245,
"1993.042,",-44.6,445,245,
"1993.042,",-44.6,445,245,
"1993.042,",-44.6,445,245,
"1993.042,",-44.6,445,245,
"1993.042,",-44.6,445,245,
"1993.042,",-44.6,445,245,
"1993.042,",-44.6,445,245,
"1993.042,",-44.6,445,245,
"1993.042,",-44.6,445,245,
"1993.042,",-44.6,445,245,
"1993.042,",-44.6,445,245,
"1993.042,",-44.6,445,245,
"1993.042,",-44.6,445,245,
"1993.042,",-44.6,445,245,
"1993.042,",-44.6,445,245,
"1993.042,",-44.6,445,245,
"1993.042,",-44.6,445,245,
"1993.042,",-44.6,445,245,
"1993.042,",-44.6,445,245,
"1993.042,",-44.6,445,245,
"1993.042,",-44.6,445,245,
"1993.042,",-44.6,445,245,
"1993.042,",-44.6,445,245,
"1993.042,",-44.6,445,245,
"1993.042,",-44.6,445,245,
"1993.042,",-44.6,445,245,
"1993.042,",-44.6,445,245,
"1993.042,",-44.6,445,245,
"1993.042,",-44.6,445,245,
"1993.042,",-44.6,445,245,
"1993.042,",-44.6,445,245,
"1993.042,",-44.6,445,245,
"1993.042,",-44.6,445,245,
"1993.042,",-44.6,445,245,
"1993.042,",-44.6,445,245,
"1993.042,",-44.6,445,245,
"1993.042,",-44.6,445,245,
"1993.042,",-44.6,445,245,
"1993.042,",-44.6,445,245,
"1993.042,",-44.6,445,245,
"1993.042,",-44.6,445,245,
"1993.042,",-44.6,445,245,
"1993.042,",-44.6,445,245,
"1993.042,",-44.6,445,245,
"1993.042,",-44.6,445,245,
"1993.042,",-44.6,445,245,
"1993.042,",-44.6,445,245,
"1993.042,",-44.6,445,245,
"1993.042,",-44.6,445,245,
"1993.042,",-44.6,445,245,
"1993.042,",-44.6,445,245,
"1993.042,",-44.6,445,245,
"1993.042,",-44.6,445,245,
"1993.042,",-44.6,445,245,
"1993.042,",-44.6,445,245,
"1993.042,",-44.6,445,245,
"1993.042,",-44.6,445,245,
"1993.042,",-44.6,445,245,
"1993.042,",-44.6,445,245,
"1993.042,",-44.6,445,245,
"1993.042,",-44.6,445,245,
"1993.042,",-44.6,445,245,
"1993.042,",-44.6,445,245,
"1993.042,",-44.6,445,245,
"1993.042,",-44.6,445,245,
"1993.042,",-44.6,445,245,
"1993.042,",-44.6,445,245,
"1993.042,",-44.6,445,245,
"1993.042,",-44.6,445,245,
"1993.042,",-44.6,445,245,
"1993.042,",-44.6,445,245,
"1993.042,",-44.6,445,245,
"1993.042,",-44.6,445,245,
"1993.042,",-44.6,445,245,
"1993.042,",-44.6,445,245,
"1993.042,",-44.6,445,245,
"1993.042,",-44.6,445,245,
"1993.042,",-44.6,445,245,
"1993.042,",-44.6,445,245,
"1993.042,",-44.6,445,245,
"1993.042,",-44.6,445,245,
"1993.042,",-44.6,445,245,
"1993.042,",-44.6,445,245,
"1993.042,",-44.6,445,245,
"1993.042,",-44.6,445,245,
"1993.042,",-44.6,445,245,
"1993.042,",-44.6,445,245,
"1993.042,",-44.6,445,245,
"1993.042,",-44.6,445,245,
"1993.042,",-44.6,445,245,
"1993.042,",-44.6,445,245,
"1993.042,",-44.6,445,245,
"1993.042,",-44.6,445,245,
"1993.042,",-44.6,445,245,
"1993.042,",-44.6,445,245,
"1993.042,",-44.6,445,245,
"1993.042,",-44.6,445,245,
"1993.042,",-44.6,445,245,
"1993.042,",-44.6,445,245,
"1993.042,",-44.6,445,245,
"1993.042,",-44.6,445,245,
"1993.042,",-44.6,445,245,
"1993.042,",-44.6,445,245,
"1993.042,",-44.6,445,245,
"1993.042,",-44.6,445,245,
"1993.042,",-44.6,445,245,
"1993.042,",-44.6,445,245,
"1993.042,",-44.6,445,245,
"1993.042,",-44.6,445,245,
"1993.042,",-44.6,445,245,
"1993.042,",-44.6,445,245,
"1993.042,",-44.6,445,245,
"1993.042,",-44.6,445,245,
"1993.042,",-44.6,445,245,
"1993.042,",-44.6,445,245,
"1993.042,",-44.6,445,245,
"1993.042,",-44.6,445,245,
"1993.042,",-44.6,445,245,
"1993.042,",-44.6,445,245,
"1993.042,",-44.6,445,245,
"1993.042,",-44.6,445,245,
"1993.042,",-44.6,445,245,
"1993.042,",-44.6,445,245,
"1993.042,",-44.6,445,245,
"1993.042,",-44.6,445,245,
"1993.042,",-44.6,445,245,
"1993.042,",-44.6,445,245,
"1993.042,",-44.6,445,245,
"1993.042,",-44.6,445,245,
"1993.042,",-44.6,445,245,
"1993.042,",-44.6,445,245,
"1993.042,",-44.6,445,245,
"1993.042,",-44.6,445,245,
"1993.042,",-44.6,445,245,
"1993.125,",-48.3,448.7,248.7,
"1993.208,",-40.3,440.7,240.7,
"1993.292,",-46.3,446.7,246.7,
"1993.375,",-42.2,442.6,242.6,
"1993.458,",-47.4,447.8,247.8,
"1993.542,",-41.6,442,242,
"1993.625,",-40.8,441.2,241.2,
"1993.708,",-33.2,433.6,233.6,
"1993.792,",-34.3,434.7,234.7,
"1993.875,",-35.2,435.6,235.6,
"1993.958,",-36.3,436.7,236.7,
"1994.042,",-40.2,440.6,240.6,
"1994.125,",-44.9,445.3,245.3,
"1994.208,",-36.5,436.9,236.9,
"1994.292,",-39.9,440.3,240.3,
"1994.375,",-44.8,445.2,245.2,
"1994.458,",-45.2,445.6,245.6,
"1994.542,",-43.9,444.3,244.3,
"1994.625,",-37.6,438,238,
"1994.708,",-36.5,436.9,236.9,
"1994.792,",-30.8,431.2,231.2,
"1994.875,",-39.2,439.6,239.6,
"1994.958,",-35.3,435.7,235.7,
"1995.042,",-40.7,441.1,241.1,
"1995.125,",-38.6,439,239,
"1995.208,",-38.9,439.3,239.3,
"1995.292,",-36.5,436.9,236.9,
"1995.375,",-45.1,445.5,245.5,
"1995.458,",-39.9,440.3,240.3,
"1995.542,",-44.8,445.2,245.2,
"1995.625,",-33.9,434.3,234.3,
"1995.708,",-31.4,431.8,231.8,
"1995.792,",-26.7,427.1,227.1,
"1995.875,",-32.6,433,233,
"1995.958,",-30.1,430.5,230.5,
"1996.042,",-43.1,443.5,243.5,
"1996.125,",-33,433.4,233.4,
"1996.208,",-38.2,438.6,238.6,
"1996.292,",-34.3,434.7,234.7,
"1996.375,",-36.3,436.7,236.7,
"1996.458,",-33.7,434.1,234.1,
"1996.542,",-32.1,432.5,232.5,
"1996.625,",-29.2,429.6,229.6,
"1996.708,",-25.6,426,226,
"1996.792,",-14.7,415.1,215.1,
"1996.875,",-20.2,420.6,220.6,
"1996.958,",-31.9,432.3,232.3,
"1997.042,",-32.3,432.7,232.7,
"1997.125,",-35.7,436.1,236.1,
"1997.208,",-30.7,431.1,231.1,
"1997.292,",-34.1,434.5,234.5,
"1997.375,",-29.9,430.3,230.3,
"1997.458,",-32.8,433.2,233.2,
"1997.542,",-23.9,424.3,224.3,
"1997.625,",-23.6,424,224,
"1997.708,",-12.2,412.6,212.6,
"1997.792,",-17.5,417.9,217.9,
"1997.875,",-15.4,415.8,215.8,
"1997.958,",-26.9,427.3,227.3,
"1998.042,",-22.1,422.5,222.5,
"1998.125,",-25.7,426.1,226.1,
"1998.208,",-19.8,420.2,220.2,
"1998.292,",-23.6,424,224,
"1998.375,",-22.5,422.9,222.9,
"1998.458,",-28.2,428.6,228.6,
"1998.542,",-21,421.4,221.4,
"1998.625,",-21.3,421.7,221.7,
"1998.708,",-14.8,415.2,215.2,
"1998.792,",-12.5,412.9,212.9,
"1998.875,",-15.2,415.6,215.6,
"1998.958,",-18,418.4,218.4,
"1999.042,",-20.5,420.9,220.9,
"1999.125,",-20.2,420.6,220.6,
"1999.208,",-25.2,425.6,225.6,
"1999.292,",-24.4,424.8,224.8,
"1999.375,",-28.8,429.2,229.2,
"1999.458,",-27.1,427.5,227.5,
"1999.542,",-25.7,426.1,226.1,
"1999.625,",-18.2,418.6,218.6,
"1999.708,",-18.5,418.9,218.9,
"1999.792,",-6.2,406.6,206.6,
"1999.875,",-17.8,418.2,218.2,
"1999.958,",-10.6,411,211,
"2000.042,",-20.7,421.1,221.1,
"2000.125,",-16.4,416.8,216.8,
"2000.208,",-21.2,421.6,221.6,
"2000.292,",-19.4,419.8,219.8,
"2000.375,",-26.8,427.2,227.2,
"2000.458,",-20.9,421.3,221.3,
"2000.542,",-25.5,425.9,225.9,
"2000.625,",-14.8,415.2,215.2,
"2000.708,",-13.4,413.8,213.8,
"2000.792,",-4,404.4,204.4,
"2000.875,",-11.6,412,212,
"2000.958,",-13.7,414.1,214.1,
"2001.042,",-16.2,416.6,216.6,
"2001.125,",-16.9,417.3,217.3,
"2001.208,",-15.5,415.9,215.9,
"2001.292,",-16.4,416.8,216.8,
"2001.375,",-18.5,418.9,218.9,
"2001.458,",-18.7,419.1,219.1,
"2001.542,",-13,413.4,213.4,
"2001.625,",-13.4,413.8,213.8,
"2001.708,",-1.6,402,202,
"2001.792,",-6.4,406.8,206.8,
"2001.875,",-3.1,403.5,203.5,
"2001.958,",-12.8,413.2,213.2,
"2002.042,",-10.7,411.1,211.1,
"2002.125,",-12.7,413.1,213.1,
"2002.208,",-13.6,414,214,
"2002.292,",-14.5,414.9,214.9,
"2002.375,",-13.7,414.1,214.1,
"2002.458,",-16.5,416.9,216.9,
"2002.542,",-10.1,410.5,210.5,
"2002.625,",-4.4,404.8,204.8,
"2002.708,",-3.6,404,204,
"2002.792,",1.8,398.6,198.6,
"2002.875,",-3.4,403.8,203.8,
"2002.958,",-6.2,406.6,206.6,
"2003.042,",-8.6,409,209,
"2003.125,",-8,408.4,208.4,
"2003.208,",-9.2,409.6,209.6,
"2003.292,",-10.6,411,211,
"2003.375,",-11.1,411.5,211.5,
"2003.458,",-14.4,414.8,214.8,
"2003.542,",-11.3,411.7,211.7,
"2003.625,",-7.6,408,208,
"2003.708,",1.3,399.1,199.1,
"2003.792,",1.3,399.1,199.1,
"2003.875,",-1.2,401.6,201.6,
"2003.958,",-4.2,404.6,204.6,
"2004.042,",-3.9,404.3,204.3,
"2004.125,",-8.1,408.5,208.5,
"2004.208,",-6.5,406.9,206.9,
"2004.292,",-7.7,408.1,208.1,
"2004.375,",-10.3,410.7,210.7,
"2004.458,",-10.9,411.3,211.3,
"2004.542,",-7,407.4,207.4,
"2004.625,",-4.9,405.3,205.3,
"2004.708,",2.6,397.8,197.8,
"2004.792,",1,399.4,199.4,
"2004.875,",-0.4,400.8,200.8,
"2004.958,",-0.2,400.6,200.6,
"2005.042,",-4.9,405.3,205.3,
"2005.125,",-4.1,404.5,204.5,
"2005.208,",-3.2,403.6,203.6,
"2005.292,",-6,406.4,206.4,
"2005.375,",-6.1,406.5,206.5,
"2005.458,",-5.8,406.2,206.2,
"2005.542,",-4.5,404.9,204.9,
"2005.625,",-0.7,401.1,201.1,
"2005.708,",4.2,396.2,196.2,
"2005.792,",6.8,393.6,193.6,
"2005.875,",7.9,392.5,192.5,
"2005.958,",5.2,395.2,195.2,
"2006.042,",-2.9,403.3,203.3,
"2006.125,",-1.6,402,202,
"2006.208,",-3,403.4,203.4,
"2006.292,",-3.1,403.5,203.5,
"2006.375,",-4.4,404.8,204.8,
"2006.458,",-3.6,404,204,
"2006.542,",-1.5,401.9,201.9,
"2006.625,",2.1,398.3,198.3,
"2006.708,",6.9,393.5,193.5,
"2006.792,",10,390.4,190.4,
"2006.875,",4.6,395.8,195.8,
"2006.958,",4.2,396.2,196.2,
"2007.042,",-2.5,402.9,202.9,
"2007.125,",-2.2,402.6,202.6,
"2007.208,",-2.4,402.8,202.8,
"2007.292,",1.5,398.9,198.9,
"2007.375,",-3.5,403.9,203.9,
"2007.458,",-4.2,404.6,204.6,
"2007.542,",-4,404.4,204.4,
"2007.625,",1.2,399.2,199.2,
"2007.708,",5,395.4,195.4,
"2007.792,",8.3,392.1,192.1,
"2007.875,",10.2,390.2,190.2,
"2007.958,",3.4,397,197,
"2008.042,",3.1,397.3,197.3,
"2008.125,",-1.3,401.7,201.7,
"2008.208,",2.7,397.7,197.7,
"2008.292,",0.5,399.9,199.9,
"2008.375,",5.4,395,195,
"2008.458,",2.2,398.2,198.2,
"2008.542,",3.9,396.5,196.5,
"2008.625,",6.3,394.1,194.1,
"2008.708,",12.7,387.7,187.7,
"2008.792,",14.2,386.2,186.2,
"2008.875,",14.7,385.7,185.7,
"2008.958,",10.1,390.3,190.3,
"2009.042,",11,389.4,189.4,
"2009.125,",8,392.4,192.4,
"2009.208,",4.1,396.3,196.3,
"2009.292,",7.9,392.5,192.5,
"2009.375,",5.6,394.8,194.8,
"2009.458,",7,393.4,193.4,
"2009.542,",6.6,393.8,193.8,
"2009.625,",8.8,391.6,191.6,
"2009.708,",12,388.4,188.4,
"2009.792,",18.4,382,182,
"2009.875,",20.3,380.1,180.1,
"2009.958,",19.4,381,181,
"2010.042,",16.2,384.2,184.2,
"2010.125,",9.4,391,191,
"2010.208,",9.1,391.3,191.3,
"2010.292,",9,391.4,191.4,
"2010.375,",9.5,390.9,190.9,
"2010.458,",10.1,390.3,190.3,
"2010.542,",12.8,387.6,187.6,
"2010.625,",12.2,388.2,188.2,
"2010.708,",14.4,386,186,
"2010.792,",15,385.4,185.4,
"2010.875,",19.1,381.3,181.3,
"2010.958,",15.8,384.6,184.6,
"2011.042,",13.5,386.9,186.9,
"2011.125,",8.9,391.5,191.5,
"2011.208,",7.8,392.6,192.6,
"2011.292,",4.1,396.3,196.3,
"2011.375,",6.5,393.9,193.9,
"2011.458,",5,395.4,195.4,
"2011.542,",9.7,390.7,190.7,
"2011.625,",8.7,391.7,191.7,
"2011.708,",16.7,383.7,183.7,
"2011.792,",17.6,382.8,182.8,
"2011.875,",23.2,377.2,177.2,
"2011.958,",19.2,381.2,181.2,
"2012.042,",19.9,380.5,180.5,
"2012.125,",20.8,379.6,179.6,
"2012.208,",17.4,383,183,
"2012.292,",16.6,383.8,183.8,
"2012.375,",15.4,385,185,
"2012.458,",16.5,383.9,183.9,
"2012.542,",19.3,381.1,181.1,
"2012.625,",23.7,376.7,176.7,
"2012.708,",24.8,375.6,175.6,
"2012.792,",29.4,371,171,
"2012.875,",31.6,368.8,168.8,
"2012.958,",31.5,368.9,168.9,
"2013.042,",29.7,370.7,170.7,
"2013.125,",27.2,373.2,173.2,
"2013.208,",22.6,377.8,177.8,
"2013.292,",25.2,375.2,175.2,
"2013.375,",21.4,379,179,
"2013.458,",22,378.4,178.4,
"2013.542,",20.1,380.3,180.3,
"2013.625,",24.2,376.2,176.2,
"2013.708,",23.8,376.6,176.6,
"2013.792,",29.3,371.1,171.1,
"2013.875,",30.6,369.8,169.8,
"2013.958,",32.4,368,168,
"2014.042,",27.5,372.9,172.9,
"2014.125,",26,374.4,174.4,
"2014.208,",25.1,375.3,175.3,
"2014.292,",25.8,374.6,174.6,
"2014.375,",22.8,377.6,177.6,
"2014.458,",22.5,377.9,177.9,
"2014.542,",24.3,376.1,176.1,
"2014.625,",27.7,372.7,172.7,
"2014.708,",32.5,367.9,167.9,
"2014.792,",33.8,366.6,166.6,
"2014.875,",37.5,362.9,162.9,
"2014.958,",33.3,367.1,167.1,
"2015.042,",36.7,363.7,163.7,
"2015.125,",31.5,368.9,168.9,
"2015.208,",34.5,365.9,165.9,
"2015.292,",31.7,368.7,168.7,
"2015.375,",33.9,366.5,166.5,
"2015.458,",30.8,369.6,169.6,
"2015.542,",35.6,364.8,164.8,
"2015.625,",36.5,363.9,163.9,
"2015.708,",43,357.4,157.4,
"2015.792,",46.5,353.9,153.9,
"2015.875,",51.1,349.3,149.3,
"2015.958,",47.6,352.8,152.8,
"2016.042,",45.4,355,155,
"2016.125,",41.9,358.5,158.5,
"2016.208,",40.8,359.6,159.6,
"2016.292,",39.9,360.5,160.5,
"2016.375,",37.6,362.8,162.8,
"2016.458,",39.3,361.1,161.1,
"2016.542,",40.7,359.7,159.7,
"2016.625,",40.7,359.7,159.7,
"2016.708,",45.9,354.5,154.5,
"2016.792,",47.4,353,153,
"2016.875,",51.2,349.2,149.2,
"2016.958,",46,354.4,154.4,
"2017.042,",41.1,359.3,159.3,
"2017.125,",36.8,363.6,163.6,
"2017.208,",39.7,360.7,160.7,
"2017.292,",41,359.4,159.4,
"2017.375,",38.8,361.6,161.6,
"2017.458,",38.8,361.6,161.6,
"2017.542,",42.3,358.1,158.1,
"2017.625,",46.7,353.7,153.7,
"2017.708,",51.1,349.3,149.3,
"2017.792,",51.8,348.6,148.6,
"2017.875,",54.9,345.5,145.5,
"2017.958,",50.5,349.9,149.9,
"2018.042,",45.9,354.5,154.5,
"2018.125,",43,357.4,157.4,
"2018.208,",44.3,356.1,156.1,
"2018.292,",40.1,360.3,160.3,
"2018.375,",44.1,356.3,156.3,
"2018.458,",42.2,358.2,158.2,
